5905 USA|MO Camdenton FTC FIRST LASER Middle School #1
5906 USA|MO Camdenton FTC FIRST LASER Middle School #2
5907 USA|MO Camdenton FTC  FIRST LASER Middle School #3
5908 USA|MO Camdenton FTC FIRST LASER Middle School #4
5909 USA|MO Camdenton FTC FIRST LASER Middle School  #5
5910 USA|PA Sparks
5913 USA|IA Drop It Like It's Bot
5919 USA|NY RegisOwls
5920 USA|WA IMVERT
5921 USA|CA La Canada Engineering Club
5923 USA|MN Metal Monsters
5925 USA|AR WildBotz
5927 USA|NY TechnoGirls
5928 USA|IL The Turing Machines
5937 USA|FL Renaissance Robotics
5940 USA|GA Rockin' Robots
5942 USA|CA Team Torch
5951 USA|OR Mustangs
5953 USA|WA Roarbotics
5954 USA|MI Lightning Boltz
5957 USA|MI Sonic Eagles
5959 USA|WY Radioactive Hybrid
5960 USA|MI Iron Dams
5961 USA|WA Sound Robotics
5962 USA|MN Nordic Storm
5967 USA|OK RoboHornets 
5968 USA|NJ WR That Hertz
5970 USA|TX The Ambassadors
5971 USA|WA Brain Bots
5975 USA|IA CYBOTS
5976 USA|MI Brandon Tech
5978 USA|NY L V A I
5979 USA|GA CyberStingers Blue
5980 USA|MI Titanium Tech Vikes
5991 USA|GA Tigerbytes
5996 USA|NJ Hyper Nike
6003 USA|CA SFC Techno Eagles
6004 USA|NY Robo Blazers
6007 USA|IL Eighty Nine Degrees
6010 USA|VA Thunder Stone
6016 USA|CA Ironwolves
6025 USA|IA United Robotics
6027 USA|VA L.E.D. Empire
6032 USA|MA Rosie's Riveters
6036 USA|MI Junior Robot Commander
6037 USA|NJ W.A.G.S.
6038 USA|CA Tino Pathfinders
6040 USA|MA Canton Robodogs
6041 USA|TX Robot X Games
6043 USA|MI NC GEARS
6045 USA|PA OHMBoys
6046 USA|WA TekWolves
6047 USA|GA Twisted Axles
6051 USA|NY Quantum Mechanics
6055 USA|MA GearTicks
6063 USA|AK Iron Warriors
6069 USA|NJ Pingry Robotics
6070 USA|MI WOW - West Ottawa Warriors
6072 USA|IA Wildbot Robotics
6073 USA|TN Robo Bubo
6074 USA|CA RAWALA (Robot Assemblers With A Long Acronym)
6076 USA|MS Commodores
6078 USA|NC Cut the Red Wire
6079 USA|MI Bionic Broncos
6085 USA|OH Electro/Mechanically Controlled Chaos
6088 USA|ID I-Bots
6090 USA|FL Rock Star Robotics
6093 USA|IA Deviation from the Norm
6101 USA|NJ Energized Hazard
6102 USA|NJ E=MK2
6103 USA|IA The STEMatics
6109 USA|HI Punabots
6110 USA|NJ M.E.T.S. Mechanical Mayhem
6113 USA|IA RoboHawks
6121 USA|IA Cougarbots
6123 USA|NC Mechanical Marauders
6128 USA|WA The Dragons 1.0
6133 USA|OH The "NUTS!"
6134 USA|MI Black Frogs
